"id","sex","birthdate","status","mom","dad","number_littermates","litrank","birthYear","clan","rank","stan_rank","dengrad","weaned","disappeared","disappeared_event_status","dispersal","mating"
"ange","m",2016-12-12,"r","flit",NA,"1",NA,2016,"talek",8,0.76,2017-09-23,2017-09-24,2018-02-26,"dls",NA,NA
"angk","m",2010-10-09,"r","lcs",NA,"1","1",2010,"serena.n",18,-1,2011-10-09,2011-08-06,2011-08-26,"dls",NA,NA
"ani","f",1999-11-17,"r","bail",NA,"1","1",1999,"talek",22,-0.4,2000-07-03,2000-08-28,2001-05-11,"dls",NA,NA
"anth","u",2009-11-30,"r","silk",NA,"1",NA,2009,"happy.zebra",10,-0.63,NA,NA,2010-06-27,"dls",NA,NA
"antj","m",2013-10-22,"r","wafl",NA,"1","2",2013,"serena.n",1,1,2014-06-10,2014-09-12,2017-05-21,"dls",NA,NA
"anub","m",2016-01-25,"r","deth",NA,"0",NA,2016,"serena.s",4,0.73,2017-02-22,NA,NA,"dls",2019-10-16,NA
"ap","m",1988-06-15,"r","coch",NA,"0","1",1988,"talek",5,0.61,1989-01-15,1989-08-07,1995-07-02,"dead",1993-06-16,NA
"app","m",2015-10-06,"r","ana",NA,"1","2",2015,"serena.n",4,0.7,2016-07-27,2016-09-25,2016-10-07,"dls",NA,NA
"aqua","f",2006-04-17,"r","mos",NA,"1","2",2006,"talek",4,0.62,2006-12-01,2006-11-08,2021-06-14,"dls",NA,2008-07-23
"arba","f",2011-09-26,"r","pike",NA,"1","1",2011,"happy.zebra",2,0.81,2012-07-26,2012-10-03,2017-01-14,"dls",NA,2013-08-05
"arct","m",2017-01-05,"r","sau",NA,"1","1",2017,"serena.n",5,0.61,2017-09-11,NA,2017-11-11,"dls",NA,NA
"ares","f",2016-03-16,"r","twst",NA,"0",NA,2016,"talek",23,0.25,2016-12-15,NA,2017-03-06,"dead",NA,NA
"arg","f",2005-11-25,"r","yog","bca","0",NA,2005,"talek",13,-0.33,2006-09-09,2006-08-13,2014-04-03,"dead",NA,2009-01-28
"argo","f",2018-11-21,"r","rumg",NA,"1","1",2018,"happy.zebra",8,0.39,2019-11-21,NA,NA,"",NA,2022-07-18
"arlo","m",2000-12-01,"r","bail",NA,"0",NA,2000,"talek",15,-0.86,2001-08-18,NA,2001-11-13,"dls",NA,NA
"arms","f",2010-10-14,"r","ali",NA,"1",NA,2010,"talek",15,0,NA,NA,2011-01-12,"dls",NA,NA
"arsc","u",2010-11-08,"r","silk",NA,"2","3",2010,"happy.zebra",11,-0.81,NA,NA,2011-01-05,"dls",NA,NA
"arse","f",1995-03-22,"r","bsh","rcn","1","1",1995,"talek",1,1,1995-10-22,1996-04-01,1996-08-09,"dead",NA,NA
"art","f",2000-03-24,"r","mrph","mig","1","1",2000,"talek",1,1,2000-09-30,2000-12-14,2014-01-03,"dead",NA,2002-08-06
"arya","m",2015-08-23,"r","bnt",NA,"1","2",2015,"talek",19,0.16,2016-10-15,2016-08-31,NA,"dls",NA,NA
"aryx","u",2010-03-01,"r","awp",NA,"1","1",2010,"serena.n",16,-0.76,NA,NA,2010-06-24,"dead",NA,NA
"asbe","u",2009-11-30,"r","silk",NA,"1",NA,2009,"happy.zebra",10,-0.63,NA,NA,2010-06-27,"dls",NA,NA
"asgd","m",2017-05-02,"r","saw",NA,"1","2",2017,"happy.zebra",13,-0.09,2018-05-02,NA,2018-03-29,"dls",NA,NA
"asp","u",1998-11-30,"r","bern",NA,"0",NA,1998,"talek",29,-1,NA,NA,1998-12-12,"dead",NA,NA
"ast","m",1995-07-15,"r","sd",NA,"0",NA,1995,"talek",20,-0.31,1996-03-18,1996-04-11,1996-05-02,"dead",NA,NA
"asto","m",2014-01-07,"r","shrm",NA,"1","1",2014,"serena.n",4,0.64,NA,NA,2014-07-26,"dls",NA,NA
"atac","f",2009-02-15,"r","hel",NA,"1","2",2009,"talek",2,0.9,2009-10-18,2009-07-15,NA,"dls",NA,2012-02-02
"ath","f",1998-11-20,"r","mrph",NA,"1","1",1998,"talek",2,0.92,1999-07-19,1999-12-17,2004-03-31,"dead",NA,2000-11-23
"auk","m",2010-03-11,"r","badg",NA,"1","1",2010,"serena.s",13,-0.41,NA,NA,2010-06-05,"dls",NA,NA
"avce","f",2010-02-26,"r","arg",NA,"1","2",2010,"talek",23,-0.57,2011-01-10,2011-01-25,2013-05-27,"dls",NA,2012-11-14
"avln","f",2014-02-24,"r","saw",NA,"1","1",2014,"happy.zebra",7,0.2,2014-11-10,2015-02-26,NA,"dls",NA,2018-07-16
"axio","f",2016-06-23,"r","komo",NA,"1","1",2016,"serena.s",3,0.82,2017-02-22,2017-04-29,2017-05-30,"dls",NA,NA
"b","f",1988-05-15,"r","csl",NA,"0","1",1988,"talek",6,0.52,1989-01-03,1989-06-09,1990-06-24,"dead",NA,NA
"bab","f",2004-10-30,"r","mp",NA,"1","2",2004,"talek",10,-0.2,2005-09-26,2005-08-24,2018-02-11,"dls",NA,2008-07-12
"babe","m",2011-11-25,"r","aqua",NA,"1","1",2011,"talek",13,0.36,2012-09-29,2012-09-07,2013-05-03,"dls",NA,NA
"baca","m",2013-01-12,"r","csby",NA,"1","2",2013,"happy.zebra",10,-0.5,2013-09-24,2014-07-08,2015-11-05,"dls",NA,NA
"bacc","m",2000-03-24,"r","mrph",NA,"1","2",2000,"talek",1,1,2000-09-30,2000-12-13,2003-10-06,"dls",NA,NA
"baez","f",2004-10-16,"r","bail",NA,"1","1",2004,"talek",16,-1,2005-07-02,2005-08-05,NA,"",NA,2008-10-14
"bail","f",1992-01-04,"r","ua",NA,"0","1",1992,"talek",8,0.22,1992-08-28,1993-04-11,2007-06-12,"dead",NA,1994-08-08
"baj","m",1993-01-01,"r","bb","fn","1","2",1993,"talek",2,0.9,1994-01-01,1993-09-14,1996-11-18,"dls",NA,NA
"bal","m",1993-01-01,"r","bb",NA,"1","1",1993,"talek",2,0.9,1994-03-19,1993-09-14,1997-08-03,"dls",NA,NA
"bala","u",2010-08-26,"r","tnsl",NA,"0",NA,2010,"serena.n",13,-0.41,NA,NA,2010-11-23,"dls",NA,NA
"bali","u",2012-01-26,"r","java",NA,NA,NA,2012,"serena.s",1,1,NA,NA,2012-03-18,"dls",NA,NA
"bang","m",2014-09-11,"r","java",NA,"1","2",2014,"serena.s",1,1,2015-05-13,2015-05-27,NA,"dls",2018-06-07,NA
"bard","f",2017-03-07,"r","pike",NA,"0",NA,2017,"happy.zebra",1,1,2017-02-20,NA,NA,"dls",NA,2019-05-21
"bari","m",2013-10-27,"r","clov",NA,"1","2",2013,"serena.s",3,0.76,2014-10-26,2015-03-25,NA,"dls",2019-01-11,NA
"barr","m",2010-08-31,"r","koi",NA,"1","2",2010,"happy.zebra",1,1,2011-05-16,2011-05-24,2011-12-16,"dls",NA,NA
"bata","m",2011-11-16,"r","hex",NA,"1","2",2011,"talek",34,-0.73,2012-06-29,2012-09-23,2013-12-20,"dls",NA,NA
"bay","u",1996-10-13,"r","jab",NA,"1","1",1996,"talek",6,0.65,NA,NA,1997-01-21,"dls",NA,NA
"bb","f",1989-07-13,"r","bsh",NA,"1","1",1989,"talek",1,1,1990-03-13,1990-05-21,1998-12-29,"dead",NA,1991-10-15
"bban","f",2013-10-27,"r","clov",NA,"1","1",2013,"serena.s",3,0.76,2014-12-03,2015-03-25,2018-03-13,"dls",NA,2016-09-09
"bbq","u",2012-12-02,"r","clov",NA,"1",NA,2012,"serena.s",2,0.87,NA,NA,2013-02-02,"dls",NA,NA
"bc","m",1995-01-20,"r","gol","tz","0",NA,1995,"talek",27,-0.79,NA,NA,1995-06-23,"dead",NA,NA
"bchr","m",2015-07-03,"r","shrm",NA,"0",NA,2015,"serena.n",5,0.6,NA,NA,2016-03-25,"dls",NA,NA
"bea","m",1994-11-26,"r","bail",NA,"0",NA,1994,"talek",12,0.04,NA,NA,1994-11-30,"dead",NA,NA
"bean","u",1999-03-14,"r","bsh",NA,"0",NA,1999,"talek",1,1,NA,NA,1999-06-01,"dead",NA,NA
"beer","u",2011-02-09,"r","mstl",NA,"0",NA,2011,"serena.n",16,-0.57,NA,NA,2011-04-09,"dls",NA,NA
"bela","f",2016-02-14,"r","tero",NA,"1","1",2016,"serena.n",22,-0.9,2017-01-15,2017-04-13,2017-10-19,"dls",NA,NA
"belm","u",2015-03-08,"r","neon",NA,"0",NA,2015,"talek",23,-0.02,NA,2015-10-01,2015-12-10,"dls",NA,NA
"bern","f",1992-10-01,"r","lg","hol","0","1",1992,"talek",17,-0.77,1993-06-11,1993-08-24,2000-09-04,"dls",NA,1998-08-12
"bfg","m",2017-10-25,"r","crim",NA,"1","1",2017,"serena.n",14,-0.23,NA,NA,2021-10-25,"dls",NA,NA
"bg","m",1990-10-07,"r","dj",NA,"1","1",1990,"talek",3,0.8,1991-08-28,1991-08-14,1991-11-11,"dead",NA,NA
"bgl","m",2004-07-21,"r","adon",NA,"1","2",2004,"talek",2,0.86,2005-04-13,2005-09-06,2012-02-03,"",2007-05-13,NA
"bgra","m",2016-10-27,"r","juno",NA,"1","1",2016,"talek",7,0.79,2017-10-03,2018-03-24,2022-01-10,"dls",NA,NA
"bigi","m",2011-04-17,"r","zoey",NA,NA,NA,2011,"serena.n",2,0.89,NA,NA,2012-10-29,"dead",NA,NA
"bil","f",1993-09-07,"r","es",NA,"1","1",1993,"talek",19,-0.8,1994-04-13,1994-11-22,1995-04-07,"dead",NA,NA
"bilb","u",1991-01-16,"r","es","zip","1",NA,1991,"talek",17,-0.6,NA,NA,1991-03-01,"dead",NA,NA
"bilj","f",2012-07-29,"r","hkr",NA,"1","1",2012,"serena.n",8,0.3,2013-06-27,2013-10-09,NA,"dls",NA,2017-01-05
"birk","m",2013-07-21,"r","hex",NA,"1",NA,2013,"talek",40,-0.65,2014-04-23,2014-05-26,2016-02-01,"dls",NA,NA
"bivy","f",2016-06-27,"r","tilt",NA,"0",NA,2016,"talek",42,-0.38,2017-05-20,2017-06-01,NA,"dls",NA,2020-10-15
"bl","m",1988-10-11,"r","67",NA,"1","1",1988,"talek",13,-0.14,1989-06-06,1989-09-01,1990-07-08,"dls",NA,NA
"blck","f",2017-01-05,"r","sau",NA,"1","2",2017,"serena.n",5,0.61,2017-09-11,NA,2017-12-13,"dls",NA,NA
"blk","u",2010-11-27,"r","csby",NA,"0",NA,2010,"happy.zebra",10,-0.63,NA,NA,2011-02-20,"dls",NA,NA
"blkt","m",2012-08-28,"r","tilt",NA,"0",NA,2012,"talek",35,-0.36,2013-06-17,2013-08-06,2014-04-12,"dead",NA,NA
"blln","f",2014-04-01,"r","yog",NA,"1","2",2014,"talek",31,-0.33,2014-12-10,2015-03-06,NA,"dls",NA,2017-09-09
"bln","u",2013-12-22,"r","mtn",NA,NA,NA,2013,"serena.s",16,-0.76,2014-01-19,NA,2014-01-19,"dls",NA,NA
"blt","f",2018-12-15,"r","bsct",NA,"1","1",2018,"serena.s",15,-0.55,2019-10-28,NA,2020-08-10,"dls",NA,NA
"blue","f",2008-02-20,"r","mos",NA,"1",NA,2008,"talek",4,0.68,2008-10-07,2009-01-22,2012-06-30,"dls",NA,2010-08-30
"bm","f",1989-07-17,"r","23s",NA,"1","2",1989,"talek",20,-0.65,1990-04-16,1990-08-25,1999-08-18,"dls",NA,1994-03-24
"bmbl","u",2016-02-04,"r","lust",NA,"1",NA,2016,"talek",47,-0.55,NA,NA,2016-03-20,"dls",NA,NA
"bn","f",1990-09-30,"r","sr",NA,"1","2",1990,"talek",9,0.2,1991-06-10,NA,1991-06-13,"dead",NA,NA
"bncl","m",2012-11-03,"r","amaz",NA,"1",NA,2012,"talek",4,0.88,2013-07-29,2013-09-23,2017-06-16,"dls",NA,NA
"bnd","f",2001-11-05,"r","csn",NA,NA,NA,2001,"talek",3,0.76,NA,2002-09-19,2002-12-08,"dls",NA,NA
"bnt","f",2011-09-25,"r","mono","brno","0",NA,2011,"talek",15,0.26,2012-07-21,2012-09-20,NA,"dls",NA,2014-02-19
"bo","m",1988-11-07,"r","bf",NA,"1","2",1988,"talek",17,-0.52,1989-09-13,1990-05-26,1995-09-02,"dls",1991-08-04,NA
"boa","m",2001-07-19,"r","ali",NA,"0",NA,2001,"talek",5,0.52,2002-01-23,2002-11-08,2005-04-27,"dls",NA,NA
"boba","f",2001-06-01,"r","sein",NA,"1","2",2001,"talek",4,0.64,NA,NA,2001-12-30,"dead",NA,NA
"bofn","f",2015-12-14,"r","whiz",NA,"0",NA,2015,"serena.s",4,0.62,NA,2016-08-14,2016-09-03,"dls",NA,NA
"bolv","u",2011-01-12,"r","pro",NA,"1","2",2011,"serena.s",15,-0.64,NA,NA,2011-02-14,"dls",NA,NA
"boom","f",2010-02-16,"r","pike","dar","1","1",2010,"happy.zebra",2,0.81,2010-11-26,2010-11-03,2015-05-30,"dls",NA,2012-04-13
"boot","m",2014-10-30,"r","boom",NA,"1","2",2014,"happy.zebra",4,0.6,NA,2015-05-22,2015-12-01,"dls",NA,NA
"bora","f",2010-12-23,"r","art",NA,"0",NA,2010,"talek",12,0.21,2011-12-06,2012-04-11,2018-06-19,"dls",NA,2013-08-20
"born","m",2013-10-31,"r","java",NA,"1","1",2013,"serena.s",1,1,NA,2014-06-26,NA,"dls",2018-08-07,NA
"bouf","u",2014-09-23,"r","rast",NA,"1","1",2014,"serena.s",5,0.55,NA,NA,2014-11-13,"dls",NA,NA
"bows","u",2011-03-10,"r","cart",NA,"1",NA,2011,"talek",38,-0.94,NA,NA,2012-04-10,"dls",NA,NA
"boyk","m",2013-01-13,"r","tru",NA,"1","1",2013,"serena.s",14,-0.52,NA,NA,2013-04-22,"dls",NA,NA
"bran","f",2015-08-23,"r","bnt",NA,"1","1",2015,"talek",19,0.16,2016-10-12,2016-08-31,NA,"dls",NA,NA
"brb","u",1998-01-20,"r","ua",NA,NA,NA,1998,"talek",19,-0.28,NA,NA,1998-01-27,"dead",NA,NA
"brdg","u",2017-09-05,"r","csby",NA,"1","2",2017,"happy.zebra",18,-0.54,NA,NA,2017-12-21,"dls",NA,NA
"bret","m",2016-10-31,"r","byte",NA,"1","1",2016,"talek",3,0.93,2017-12-26,NA,NA,"dls",NA,NA
"brgr","f",2011-10-30,"r","cen","dub","1","1",2011,"talek",8,0.63,2012-09-19,2012-12-11,NA,"dls",NA,2014-08-13
"brgy","u",2012-12-06,"r","mos",NA,"1",NA,2012,"talek",11,0.6,NA,NA,2013-04-30,"dls",NA,NA
"brn","m",1998-11-20,"r","ua",NA,"1","1",1998,"talek",19,-0.28,1999-07-19,2000-02-01,2001-06-08,"dls",NA,NA
"brns","f",2017-10-18,"r","whiz",NA,"0",NA,2017,"serena.s",8,0.3,2018-08-05,NA,2019-03-01,"dls",NA,NA
"bron","m",2012-10-01,"r","bart",NA,NA,NA,2012,"serena.s",4,0.62,2013-06-18,2013-10-30,2015-11-19,"dls",NA,NA
"brum","f",2017-02-12,"r","silk",NA,"1","1",2017,"happy.zebra",20,-0.72,2018-09-02,NA,NA,"dls",NA,NA
"bsct","f",2013-08-04,"r","blg",NA,"0",NA,2013,"serena.s",13,-0.41,NA,2014-07-24,NA,"dls",NA,2018-08-27
"bsl","f",2003-02-20,"r","whh",NA,NA,NA,2003,"talek",16,-0.87,2003-12-14,2004-01-27,2006-07-19,"dls",NA,2004-12-26
"bsp","f",1999-04-24,"r","mp","zig","1","2",1999,"talek",10,0.4,1999-12-18,2000-03-02,2001-05-08,"dls",NA,NA
"bsti","m",2015-11-17,"r","arro",NA,"1","2",2015,"serena.n",12,-0.1,2016-08-28,2016-07-03,2018-06-21,"dls",NA,NA
"buar","f",2009-12-18,"r","hel",NA,"1","2",2009,"talek",2,0.9,2010-08-03,2010-06-27,NA,"dls",NA,2012-09-24
"bud","m",1989-07-13,"r","bsh",NA,"1","2",1989,"talek",1,1,1990-03-13,1990-05-21,1993-05-16,"dls",NA,NA
"bufy","m",2016-10-07,"r","wrth",NA,"1","1",2016,"talek",46,-0.52,2017-07-14,NA,NA,"dls",NA,NA
"bulm","m",2014-03-16,"r","alfe",NA,"1","2",2014,"talek",26,-0.11,2014-10-19,2015-01-25,2018-01-07,"dls",NA,NA
"bulu","f",2016-10-20,"r","snap",NA,"1","2",2016,"happy.zebra",10,0.1,NA,2017-05-24,2017-08-04,"dls",NA,NA
"buns","m",2018-12-04,"r","rama",NA,"1","2",2018,"serena.n",20,-0.8,2019-10-13,NA,2020-08-31,"dls",NA,NA
"but","f",1992-06-05,"r","23s",NA,"1","1",1992,"talek",13,-0.33,NA,NA,1992-08-24,"dead",NA,NA
"buts","u",2016-12-12,"r","trex",NA,"1",NA,2016,"serena.n",21,-0.81,NA,NA,2017-03-11,"dls",NA,NA
"buu","m",2014-03-16,"r","alfe",NA,"1","1",2014,"talek",26,-0.11,2014-10-19,2015-01-24,2016-06-04,"dls",NA,NA
"bw","m",2009-01-15,"r","spb",NA,NA,NA,2009,"happy.zebra",9,-0.45,2009-10-23,2009-10-16,2010-03-20,"dls",NA,NA
"byte","f",2013-01-12,"r","buar",NA,"1",NA,2013,"talek",2,0.95,2013-08-08,2013-10-31,2018-06-13,"dls",NA,2015-08-04
"caha","m",2014-03-31,"r","ffl",NA,"0",NA,2014,"talek",33,-0.42,2014-11-23,2015-01-31,2018-06-05,"dls",NA,NA
"cal","u",1994-01-05,"r","hk",NA,"1",NA,1994,"talek",18,-0.47,NA,NA,1994-03-05,"dead",NA,NA
"cala","m",2016-10-12,"r","bora",NA,"0",NA,2016,"talek",31,-0.01,NA,NA,2017-04-09,"dls",NA,NA
"cam","f",1998-11-21,"r","jj","zig","1","1",1998,"talek",14,0.07,1999-08-05,1999-10-09,2006-10-23,"dls",NA,2002-10-21
"cami","f",2014-05-22,"r","coel",NA,"1","2",2014,"happy.zebra",5,0.46,2015-03-02,2015-03-19,2020-10-19,"dls",NA,2018-09-28
"camo","u",2017-04-25,"r","bilj",NA,"1",NA,2017,"serena.n",17,-0.52,NA,NA,2017-05-20,"dls",NA,NA
"cap","f",1989-03-20,"r","27",NA,"1","1",1989,"talek",18,-0.47,1989-10-21,NA,1990-08-07,"dead",NA,NA
"cart","f",2005-12-07,"r","nav",NA,"0",NA,2005,"talek",16,-0.66,2006-09-14,2006-11-12,NA,"dls",NA,2009-02-25
"cat","u",1998-12-03,"r","bb",NA,"0",NA,1998,"talek",10,0.35,NA,NA,1998-12-30,"dead",NA,NA
"catn","m",2013-02-24,"r","adon",NA,NA,NA,2013,"talek",15,0.4,2013-09-15,2013-08-12,2013-12-24,"dls",NA,NA
"cblt","f",2007-03-01,"r","mos","bca","0",NA,2007,"talek",3,0.73,NA,2007-11-24,2007-12-04,"dls",NA,NA
"cckr","u",2013-01-13,"r","tru",NA,"1","2",2013,"serena.s",14,-0.52,NA,NA,2013-03-02,"dls",NA,NA
"ccmp","m",2015-01-07,"r","cart",NA,"1","2",2015,"talek",43,-0.95,NA,2015-09-17,2018-02-26,"dls",NA,NA
"cen","f",2008-03-01,"r","pan",NA,"1","1",2008,"talek",3,0.78,2008-12-03,2009-01-23,2012-05-18,"dls",NA,2010-09-05
"chad","m",2000-12-24,"r","cr",NA,"1","2",2000,"talek",13,-0.6,2001-07-24,2001-07-05,2001-09-09,"dls",NA,NA
"chak","m",2013-12-02,"r","pike",NA,"1","2",2013,"happy.zebra",1,1,2014-10-02,2014-10-11,2020-02-07,"dls",NA,NA
"chap","m",2005-12-05,"r","mp",NA,"1","2",2005,"talek",11,-0.11,2006-10-08,2006-11-13,2009-10-06,"dead",NA,NA
"chau","u",1999-12-15,"r","who",NA,"1","2",1999,"talek",4,0.8,NA,NA,2000-02-14,"dls",NA,NA
"chco","f",2013-01-22,"r","ffl","khtm",NA,NA,2013,"talek",32,-0.31,2013-12-26,2013-11-17,2018-09-02,"dls",NA,2015-07-13
"chek","m",2006-01-14,"r","adon",NA,"1","2",2006,"talek",5,0.5,NA,NA,2006-09-12,"dls",NA,NA
"chez","f",2018-12-15,"r","bsct",NA,"1","2",2018,"serena.s",15,-0.55,2019-10-22,NA,2020-03-15,"dls",NA,NA
"chg","m",2009-06-09,"r","pro",NA,"0",NA,2009,"serena.s",11,-0.42,2010-06-27,2010-01-15,2013-10-30,"dls",NA,NA
"chim","u",2013-03-05,"r","pan",NA,NA,NA,2013,"talek",7,0.74,NA,NA,2013-03-30,"dls",NA,NA
"chit","m",2008-04-08,"r","hel",NA,"1","1",2008,"talek",2,0.89,2008-12-03,2008-11-15,2011-08-20,"dls",NA,NA
"chld","m",2016-10-22,"r","chco",NA,"1","2",2016,"talek",44,-0.45,2017-08-15,NA,NA,"dls",NA,NA
"chle","m",2012-10-04,"r","hel",NA,"1","1",2012,"talek",2,0.96,2013-06-07,2013-08-28,NA,"",2016-03-26,NA
"chob","m",1999-11-30,"r","par",NA,"0",NA,1999,"talek",26,-0.66,2001-03-29,2000-03-11,2002-09-21,"dls",NA,NA
"choc","m",1988-12-10,"r","79",NA,"1","2",1988,"talek",8,0.33,1989-09-09,1989-10-30,1990-02-21,"dead",NA,NA
"chow","f",2017-09-19,"r","soup",NA,"1","2",2017,"serena.n",2,0.9,NA,NA,NA,"",NA,2020-06-15
"chpa","m",2016-10-08,"r","clay",NA,"1","2",2016,"happy.zebra",2,0.9,NA,NA,2018-05-11,"dls",NA,NA
"chr","u",1994-01-10,"r","coch",NA,"1",NA,1994,"talek",7,0.47,NA,NA,1994-03-05,"dead",NA,NA
"chsy","u",2015-12-22,"r","neon",NA,"1",NA,2015,"talek",23,-0.02,NA,NA,2016-03-13,"dls",NA,NA
"chur","u",2014-07-19,"r","styr",NA,"1",NA,2014,"talek",8,0.68,NA,NA,2016-05-10,"dls",NA,NA
"chw","f",1999-03-19,"r","sein","bp","0",NA,1999,"talek",3,0.86,1999-09-24,2000-02-28,2013-07-25,"dls",NA,2002-07-20
"chy","m",1989-10-14,"r","coch",NA,"1","2",1989,"talek",5,0.65,1990-04-25,1991-01-15,1997-03-05,"dls",1993-07-30,NA
"cici","f",2015-12-16,"r","alfe",NA,"0",NA,2015,"talek",25,-0.11,2016-10-07,2016-09-20,NA,"dls",NA,2019-06-02
"circ","u",2012-07-22,"r","taj",NA,"1","2",2012,"serena.s",8,0.12,NA,NA,2012-10-15,"dls",NA,NA
"cla","f",1989-05-15,"r","xs",NA,"1","1",1989,"talek",23,-0.91,NA,NA,1989-11-22,"dead",NA,NA
"clay","f",2013-01-23,"r","pike",NA,"0",NA,2013,"happy.zebra",1,1,2013-09-14,2013-09-19,2018-02-20,"dls",NA,2014-11-07
"clev","f",2013-10-24,"r","trex",NA,"1","2",2013,"serena.n",20,-0.9,2014-06-11,2015-03-12,2021-05-23,"dead",NA,2017-06-20
"clif","u",2011-08-27,"r","ink",NA,"1","2",2011,"serena.n",12,-0.15,NA,NA,2011-10-15,"dls",NA,NA
"clou","m",2012-11-10,"r","tpe",NA,"1",NA,2012,"talek",14,0.48,NA,NA,2013-06-18,"dead",NA,NA
"clrn","f",2015-04-26,"r","yog","kto",NA,NA,2015,"talek",29,-0.3,NA,NA,NA,"dls",NA,2021-07-23
"cltn","u",2004-11-10,"r","nav",NA,NA,NA,2004,"talek",14,-0.73,2005-09-03,2005-05-12,2006-01-24,"dls",NA,NA
"clty","m",2015-06-30,"r","parc",NA,NA,NA,2015,"talek",20,0.11,NA,NA,NA,"dls",NA,NA
